Ticker,Name,Size,Sector,Industry
AXL,American Axle & Manufacturing Holdings Inc,Small,Consumer Discretionary,Auto Components
ALV,Autoliv Inc,Mid,Consumer Discretionary,Auto Components
BWA,BorgWarner Inc,Mid,Consumer Discretionary,Auto Components
CTB,Cooper Tire & Rubber Co,Small,Consumer Discretionary,Auto Components
CPS,Cooper-Standard Holdings Inc,Small,Consumer Discretionary,Auto Components
DAN,Dana Holding Corp,Small,Consumer Discretionary,Auto Components
DLPH,Delphi Automotive PLC,Large,Consumer Discretionary,Auto Components
DORM,Dorman Products Inc,Small,Consumer Discretionary,Auto Components
DW,Drew Industries Inc,Small,Consumer Discretionary,Auto Components
FDML,Federal-Mogul Holdings Corp,Small,Consumer Discretionary,Auto Components
GNTX,Gentex Corp,Mid,Consumer Discretionary,Auto Components
THRM,Gentherm Inc,Small,Consumer Discretionary,Auto Components
GT,Goodyear Tire & Rubber Co,Mid,Consumer Discretionary,Auto Components
JCI,Johnson Controls Inc,Large,Consumer Discretionary,Auto Components
LEA,Lear Corp,Mid,Consumer Discretionary,Auto Components
MGA,Magna International Inc,Mid,Consumer Discretionary,Auto Components
MPG,Metaldyne Performance Group Inc,Small,Consumer Discretionary,Auto Components
TEN,Tenneco Inc,Small,Consumer Discretionary,Auto Components
VC,Visteon Corp,Small,Consumer Discretionary,Auto Components
RACE,Ferrari NV,Mid,Consumer Discretionary,Automobiles
FCAU,Fiat Chrysler Automobiles NV,Mid,Consumer Discretionary,Automobiles
F,Ford Motor Co,Large,Consumer Discretionary,Automobiles
GM,General Motors Co,Large,Consumer Discretionary,Automobiles
HOG,Harley-Davidson Inc,Mid,Consumer Discretionary,Automobiles
TSLA,Tesla Motors Inc,Large,Consumer Discretionary,Automobiles
THO,Thor Industries Inc,Small,Consumer Discretionary,Automobiles
CORE,Core-Mark Holding Company Inc,Small,Consumer Discretionary,Distributors
GPC,Genuine Parts Co,Mid,Consumer Discretionary,Distributors
LKQ,LKQ Corp,Mid,Consumer Discretionary,Distributors
POOL,Pool Corp,Mid,Consumer Discretionary,Distributors
TWOU,2U Inc,Small,Consumer Discretionary,Consumer Services
BFAM,Bright Horizons Family Solutions Inc,Mid,Consumer Discretionary,Consumer Services
DV,DeVry Education Group Inc,Small,Consumer Discretionary,Consumer Services
GHC,Graham Holdings Co,Small,Consumer Discretionary,Consumer Services
LOPE,Grand Canyon Education Inc,Small,Consumer Discretionary,Consumer Services
HRB,H & R Block Inc,Mid,Consumer Discretionary,Consumer Services
HMHC,Houghton Mifflin Harcourt Co,Small,Consumer Discretionary,Consumer Services
LOCK,LifeLock Inc,Small,Consumer Discretionary,Consumer Services
NORD,Nord Anglia Education Inc,Small,Consumer Discretionary,Consumer Services
SCI,Service Corporation International,Mid,Consumer Discretionary,Consumer Services
SERV,Servicemaster Global Holdings Inc,Mid,Consumer Discretionary,Consumer Services
BID,Sotheby's,Small,Consumer Discretionary,Consumer Services
ARMK,Aramark,Mid,Consumer Discretionary,Travel and Leisure
BEL,Belmond Ltd,Small,Consumer Discretionary,Travel and Leisure
BJRI,BJ's Restaurants Inc,Small,Consumer Discretionary,Travel and Leisure
BLMN,Bloomin' Brands Inc,Small,Consumer Discretionary,Travel and Leisure
BYD,Boyd Gaming Corp,Small,Consumer Discretionary,Travel and Leisure
EAT,Brinker International Inc,Small,Consumer Discretionary,Travel and Leisure
BWLD,Buffalo Wild Wings Inc,Small,Consumer Discretionary,Travel and Leisure
CCL,Carnival Corp,Large,Consumer Discretionary,Travel and Leisure
FUN,Cedar Fair LP,Small,Consumer Discretionary,Travel and Leisure
CAKE,Cheesecake Factory Inc,Small,Consumer Discretionary,Travel and Leisure
CMG,Chipotle Mexican Grill Inc,Mid,Consumer Discretionary,Travel and Leisure
CHH,Choice Hotels International Inc,Small,Consumer Discretionary,Travel and Leisure
CHDN,Churchill Downs Inc,Small,Consumer Discretionary,Travel and Leisure
CBRL,Cracker Barrel Old Country Store Inc,Mid,Consumer Discretionary,Travel and Leisure
DRI,Darden Restaurants Inc,Mid,Consumer Discretionary,Travel and Leisure
PLAY,Dave & Buster's Entertainment Inc,Small,Consumer Discretionary,Travel and Leisure
DRII,Diamond Resorts International Inc,Small,Consumer Discretionary,Travel and Leisure
DIN,DineEquity Inc,Small,Consumer Discretionary,Travel and Leisure
DPZ,Domino's Pizza Inc,Mid,Consumer Discretionary,Travel and Leisure
DNKN,Dunkin' Brands Group Inc,Mid,Consumer Discretionary,Travel and Leisure
STAY,Extended Stay America Inc,Small,Consumer Discretionary,Travel and Leisure
HLT,Hilton Worldwide Holdings Inc,Large,Consumer Discretionary,Travel and Leisure
H,Hyatt Hotels Corp,Mid,Consumer Discretionary,Travel and Leisure
IGT,International Game Technology PLC,Mid,Consumer Discretionary,Travel and Leisure
ISCA,International Speedway Corp,Small,Consumer Discretionary,Travel and Leisure
JACK,Jack in the Box Inc,Small,Consumer Discretionary,Travel and Leisure
LQ,La Quinta Holdings Inc,Small,Consumer Discretionary,Travel and Leisure
LVS,Las Vegas Sands Corp,Large,Consumer Discretionary,Travel and Leisure
MAR,Marriott International Inc,Mid,Consumer Discretionary,Travel and Leisure
VAC,Marriott Vacations Worldwide Corp,Small,Consumer Discretionary,Travel and Leisure
MCD,McDonald's Corp,Large,Consumer Discretionary,Travel and Leisure
MGM,MGM Resorts International,Mid,Consumer Discretionary,Travel and Leisure
NCLH,Norwegian Cruise Line Holdings Ltd,Mid,Consumer Discretionary,Travel and Leisure
PNRA,Panera Bread Co,Mid,Consumer Discretionary,Travel and Leisure
PZZA,Papa John's International Inc,Small,Consumer Discretionary,Travel and Leisure
PENN,Penn National Gaming Inc,Small,Consumer Discretionary,Travel and Leisure
PNK,Pinnacle Entertainment Inc,Small,Consumer Discretionary,Travel and Leisure
PLNT,Planet Fitness Inc,Small,Consumer Discretionary,Travel and Leisure
PLKI,Popeyes Louisiana Kitchen Inc,Small,Consumer Discretionary,Travel and Leisure
RCL,Royal Caribbean Cruises Ltd,Mid,Consumer Discretionary,Travel and Leisure
SEAS,SeaWorld Entertainment Inc,Small,Consumer Discretionary,Travel and Leisure
SHAK,Shake Shack Inc,Small,Consumer Discretionary,Travel and Leisure
SIX,Six Flags Entertainment Corp,Mid,Consumer Discretionary,Travel and Leisure
SONC,Sonic Corp,Small,Consumer Discretionary,Travel and Leisure
SBUX,Starbucks Corp,Large,Consumer Discretionary,Travel and Leisure
HOT,Starwood Hotels & Resorts Worldwide Inc,Mid,Consumer Discretionary,Travel and Leisure
TXRH,Texas Roadhouse Inc,Small,Consumer Discretionary,Travel and Leisure
MTN,Vail Resorts Inc,Mid,Consumer Discretionary,Travel and Leisure
WEN,Wendys Co,Small,Consumer Discretionary,Travel and Leisure
WYN,Wyndham Worldwide Corp,Mid,Consumer Discretionary,Travel and Leisure
WYNN,Wynn Resorts Ltd,Mid,Consumer Discretionary,Travel and Leisure
YUM,Yum! Brands Inc,Large,Consumer Discretionary,Travel and Leisure
CAA,CalAtlantic Group Inc,Mid,Consumer Discretionary,Household Durables
DHI,D.R. Horton Inc,Mid,Consumer Discretionary,Household Durables
GRMN,Garmin Ltd,Mid,Consumer Discretionary,Household Durables
GPRO,GoPro Inc,Small,Consumer Discretionary,Household Durables
HAR,Harman International Industries Inc,Mid,Consumer Discretionary,Household Durables
